t,wp_idx,des_q1,des_q2,leader_q1,leader_q2,leader_dq1,leader_dq2,foll_q1,foll_q2,foll_dq1,foll_dq2
0.84,0,0.0,0.0,1.870247782651428e-11,3.424675405318688e-11,2.20675734630138e-12,4.040823231576951e-12,1.8670755031466634e-11,3.42119667861804e-11,2.200406523655829e-12,4.038103185166619e-12
0.86,0,0.0,0.0,1.8798519976008018e-11,3.442262030530362e-11,2.0519592969225897e-12,3.757411048965764e-12,1.8766509768939108e-11,3.4387704571615404e-11,2.0458287841584877e-12,3.754663246979817e-12
0.88,0,0.0,0.0,1.888923917075117e-11,3.458873934049788e-11,1.9394871993150264e-12,3.551423044534374e-12,1.8856946929303773e-11,3.4553691934358926e-11,1.9334139324256316e-12,3.5485642202459644e-12
0.9,0,0.0,0.0,1.8976353086224758e-11,3.474825639284284e-11,1.6751461329178596e-12,3.0673935613734216e-12,1.8943779988709785e-11,3.471307229049398e-11,1.6697155810763142e-12,3.064742903902129e-12
0.92,0,0.0,0.0,1.9058751023222552e-11,3.489913795009101e-11,1.5606322657790717e-12,2.8577418209607686e-12,1.902590239654213e-11,3.486381479230833e-11,1.5554081460311675e-12,2.855091163489476e-12
0.9400000000000001,0,0.0,0.0,1.9135026598921857e-11,3.503880887769236e-11,1.6369926247872257e-12,2.9974633886098445e-12,1.9101913909598158e-11,3.5003348107765784e-11,1.6312420164643626e-12,2.9944657864433566e-12
0.96,0,0.0,0.0,1.9208319592124213e-11,3.517301843782434e-11,1.4092737393722743e-12,2.5805330094996748e-12,1.9174944822078796e-11,3.5137416891618256e-11,1.4041992395241731e-12,2.5777713297259197e-12
0.98,0,0.0,0.0,1.927764404672119e-11,3.5299961116415364e-11,1.3130152347329282e-12,2.404312859916047e-12,1.924270509646681e-11,3.5261816479471285e-11,1.4534809987531983e-12,2.668490428625603e-12
1.0,0,0.0,0.0,1.9341640310738447e-11,3.541714691914359e-11,1.3969320492024373e-12,2.557939970948553e-12,1.930674763163071e-11,3.5379396952606996e-11,1.3689982307496518e-12,2.513350638722045e-12
1.02,0,0.0,0.0,1.9403317350082288e-11,3.5530085952269175e-11,1.185588086038969e-12,2.1709856135032624e-12,1.9368236514626414e-11,3.549229486584732e-11,1.1824053021414205e-12,2.1709717357154545e-12
1.04,0,0.0,0.0,1.9461507897948668e-11,3.563664063401387e-11,1.1208737930867851e-12,2.0524970612001425e-12,1.9426246117823825e-11,3.559881009304128e-11,1.1174082492626525e-12,2.0517615384463284e-12
1.06,0,0.0,0.0,1.9516563630924733e-11,3.5737454824343016e-11,1.0426798313645236e-12,1.9093615577503442e-12,1.9481124098022127e-11,3.569958036017203e-11,1.0393417897158752e-12,1.9085288904818754e-12
1.08,0,0.0,0.0,1.9567387446133198e-11,3.5830519782860375e-11,1.1093890563140807e-12,2.031444457095688e-12,1.9531777768949977e-11,3.579259878646687e-11,1.1056858553737392e-12,2.030389745222294e-12
1.1,0,0.0,0.0,1.961650413861722e-11,3.5920458991718633e-11,9.26563947095671e-13,1.6966289484443564e-12,1.9580724478048995e-11,3.5882487091599445e-11,9.233217489190704e-13,1.6956436255100016e-12
1.12,0,0.0,0.0,1.9661817360975598e-11,3.600343335520976e-11,9.891848624932198e-13,1.8112872313125195e-12,1.9625875360647682e-11,3.596540933011958e-11,9.85655133900476e-13,1.810121497136663e-12
1.1400000000000001,0,0.0,0.0,1.9705488743458117e-11,3.60834015816949e-11,8.394981758363951e-13,1.537200922108184e-12,1.9669385337952777e-11,3.604532239239819e-11,8.36363096834436e-13,1.5361323324469822e-12
1.16,0,0.0,0.0,1.974679350471872e-11,3.615903621913689e-11,7.822948018543219e-13,1.4325762798250707e-12,1.971053267739474e-11,3.612089997825449e-11,7.793162816460697e-13,1.4314938123760612e-12
1.18,0,0.0,0.0,1.9785672778650985e-11,3.6230229451002215e-11,7.490605358206892e-13,1.371666669136573e-12,1.9749259123923487e-11,3.6192034923411016e-11,7.461392614871443e-13,1.3705842016875636e-12
1.2,0,0.0,0.0,1.982236790302064e-11,3.62974229240101e-11,7.06818718138047e-13,1.2943535132592388e-12,1.978580567139583e-11,3.625916883295362e-11,7.039451487000914e-13,1.2931045123565355e-12
1.22,0,0.0,0.0,1.9855697875483163e-11,3.635845425677546e-11,8.117985450528664e-13,1.4864498520950065e-12,1.9819724311427902e-11,3.632147894835431e-11,7.275738171663715e-13,1.3365558659828025e-12
1.24,0,0.0,0.0,1.9888574314033865e-11,3.6418655212107353e-11,6.178972264403448e-13,1.1314144066076892e-12,1.985230992445523e-11,3.638134340896523e-11,6.26564338607194e-13,1.1510514763557467e-12
1.26,0,0.0,0.0,1.991948260515135e-11,3.6475252439012454e-11,5.956138360296848e-13,1.0905443215136756e-12,1.988305140196118e-11,3.6437823243663274e-11,5.921266081621024e-13,1.0879214196179987e-12
