it,K_err,q1,q2,q3,q4
37,6.585750444553985,38.163030850976156,38.90476093597272,20.392992737422446,15.921848452032918
38,6.583874282851257,38.30803597589693,38.759755811051946,20.537997862343218,15.776843327112147
39,6.48287094169683,39.3442921292808,39.79601196443582,19.501741708959344,14.740587173728272
40,6.4814318328741996,39.47036592615859,39.66993816755803,19.627815505837134,14.614513376850482
41,6.406313403866984,40.36765864209201,40.56723088349145,18.730522789903716,15.5118060927839
42,6.341361614988597,41.1969961475711,41.396568388970536,17.901185284424628,16.34114359826299
43,6.341275081260533,41.22704168106338,41.36652285547825,17.931230817916912,16.371189131755273
44,6.33534180902413,41.480079088623825,41.11348544791781,18.184268225477354,16.11815172419483
45,6.275808187879231,42.2695010962093,41.90290745550328,17.39484621789188,16.907573731780303
46,6.179533700706354,43.25778001794788,42.891186377241866,16.4065672961533,15.91929481004172
47,6.088760926834035,44.21058626713602,43.84399262643001,15.453761046965155,14.966488560853577
48,6.080565816555524,44.50224471919228,43.552334174373755,15.74541949902141,14.674830108797323
49,6.025925427706444,45.24379142987755,44.293880885059025,15.003872788336139,15.416376819482593
50,6.017640731653768,44.95869440939714,44.57897790553943,15.288969808816546,15.131279799002186
51,5.968633973830863,45.65724809419635,45.27753159033864,14.590416124017338,15.829833483801394
52,5.967651927739392,45.755555342973366,45.17922434156162,14.688723372794357,15.928140732578413
53,5.966782631562679,45.84803421631477,45.086745468220215,14.781202246135763,16.02061960591982
54,5.9660127650969175,45.93505267190267,44.99972701263232,14.868220701723658,16.107638061507714
55,5.954260395031034,46.28052867583165,44.65425100870334,15.213696705652637,15.762162057578735
56,5.945179186975152,46.58389807270623,44.350881611828754,15.517066102527224,15.458792660704148
57,5.839963587443336,47.60284165025496,45.36982518937748,16.53600968007595,16.477736238252874
58,5.7902368106472215,48.29503169583859,46.06201523496111,15.84381963449232,17.169926283836503
59,5.746718888302265,48.93979069147235,46.706774230594874,15.199060638858555,17.814685279470268
60,5.708591987405794,49.54102430128614,47.30800784040866,14.597827029044765,18.415918889284058
61,5.535703085062354,50.818856728890296,48.58584026801282,15.875659456648918,17.138086461679904
62,5.438948748410488,51.74944106893008,49.5164246080526,14.945075116609132,16.20750212164012
63,5.348009219217847,52.64427343073862,50.41125696986114,14.050242754800593,15.312669759831579
64,5.307117558281086,53.24516119154964,51.01214473067216,13.449354993989573,15.913557520642598
65,5.146250865012228,54.433603723916804,52.200587263039324,14.637797526356735,14.725114988275436
66,5.059143435109365,55.2858927782529,53.05287631737542,13.785508472020638,13.872825933939339
67,5.051630360287616,55.03705587964646,53.30171321598186,14.03434537062708,13.623989035332897
68,5.044653624220742,54.79744871218827,53.54132038344005,14.273952538085268,13.384381867874708
69,4.962678809171305,55.616553140206406,54.36042481145819,13.454848110067132,12.565277439856573
70,4.9159708244718905,56.23534305892463,54.97921473017641,12.836058191348911,13.184067358574794
71,4.915532552853827,56.175740815641575,55.03881697345946,12.895660434631964,13.243669601857846
72,4.908340669382115,56.42059481042793,54.79396297867311,13.140514429418317,12.998815607071492
73,4.7708007647676896,57.47762253686005,55.85099070510523,14.197542155850442,11.941787880639367
74,4.6543579454392345,58.436422525810485,56.809790694055664,15.156342144800874,10.982987891688936
75,4.592991491805977,59.1225268737594,57.49589504200458,14.470237796851961,11.669092239637848
76,4.592796980038598,59.08413398851508,57.5342879272489,14.43184491160764,11.630699354393528
77,4.588581571471986,58.906464211455614,57.71195770430836,14.609514688667105,11.453029577334064
78,4.588389543326408,58.86833446917649,57.750087446587486,14.57138494638798,11.414899835054939
79,4.588220112715811,58.83251839345348,57.78590352231049,14.535568870664974,11.379083759331934
80,4.5873079752169,58.916666142133636,57.70175577363034,14.619716619345127,11.294936010651782
81,4.586583432281335,58.991655486503305,57.62676642926067,14.694705963714796,11.219946666282112
82,4.5830060220314595,58.828081796159495,57.79034011960448,14.858279654058606,11.056372975938302
83,4.582785779297452,58.78727103914571,57.83115087661827,14.817468897044819,11.015562218924515
84,4.582323879640187,58.84711690237964,57.771305013384335,14.87731476027875,10.955716355690583
85,4.581956979256413,58.900451761824115,57.71797015393986,14.930649619723226,10.902381496246107
86,4.4822474616077015,59.76995218299862,58.58747057511437,15.800150040897734,10.0328810750716
87,4.48216294502967,59.74464589906802,58.61277685904497,15.77484375696713,10.058187359002204
88,4.481562459457133,59.678017960417264,58.679404797695724,15.841471695617884,10.124815297652958
89,4.406418992794212,60.42496996466639,59.42635680194485,16.588423699867008,10.871767301902082
90,4.404639636842658,60.31129783745314,59.5400289291581,16.47475157265376,10.758095174688833
91,4.339369502414326,60.99884008117783,60.22757117288279,15.787209328929066,11.445637418413526
92,4.33926871445349,61.02599916327222,60.200412090788404,15.814368411023452,11.41847833631914
93,4.27566862473034,61.7020801216006,60.87649304911679,16.490449369351836,12.094559294647524
94,4.2756189503476705,61.72098938516001,60.85758378555738,16.509358632911244,12.075650031088117
95,4.189773736898264,62.4991656443774,61.63576004477477,17.287534892128633,11.297473771870727
96,4.138530563811252,63.09541105432913,62.232005454726504,17.883780302080368,11.893719181822462
97,4.067000438818514,63.79400802581813,62.9306024262155,18.582377273569364,11.195122210333466
98,4.066639564979609,63.843157631376926,62.881452820656705,18.533227668010568,11.14597260477467
99,3.9725468601746345,64.63008355334864,63.66837874262842,17.746301746038853,10.359046682802955
100,3.903606745652132,65.30012351322,64.33841870249978,17.076261786167493,11.029086642674315
101,3.836104711194734,65.95946025387377,64.99775544315355,17.735598526821263,10.369749902020544
102,3.748390778225779,66.69789970227157,65.73619489155135,16.997159078423465,9.631310453622746
103,3.7478858414561382,66.6423295170182,65.79176507680472,17.052729263676838,9.575740268369373
