t,wp_idx,des_q1,des_q2,leader_q1,leader_q2,leader_dq1,leader_dq2,foll_q1,foll_q2,foll_dq1,foll_dq2
0.64,0,0.0,0.0,1.7178638165320076e-11,3.145739311182115e-11,5.556707004250594e-12,1.0175332798567638e-11,1.7154476054218906e-11,3.1429292221317853e-11,4.994757211995715e-12,9.160394665030935e-12
0.66,0,0.0,0.0,1.7355575469537995e-11,3.1781399378082434e-11,4.231468474225064e-12,7.74860731134197e-12,1.732997962856588e-11,3.1751179821225664e-11,4.321766035320085e-12,7.926423406523497e-12
0.68,0,0.0,0.0,1.7522583779063506e-11,3.208722402146977e-11,4.0377970064731095e-12,7.393918810549849e-12,1.7496569191456802e-11,3.205673320937253e-11,4.023296452937419e-12,7.379416522290683e-12
0.7000000000000001,0,0.0,0.0,1.766778242427143e-11,3.235311068138122e-11,5.23702262111847e-12,9.590009342197447e-12,1.764135631341869e-11,3.232231031134914e-11,5.22236680983168e-12,9.579170789919544e-12
0.72,0,0.0,0.0,1.782155131859044e-11,3.263469110702406e-11,3.220544057130903e-12,5.89732429556733e-12,1.7794675420828594e-11,3.2603549856890073e-11,3.211050349227751e-12,5.890191112634113e-12
0.74,0,0.0,0.0,1.7959756492458136e-11,3.288777124720196e-11,3.822781067391867e-12,7.0002198482299605e-12,1.7932460222625808e-11,3.285630674175655e-11,3.811142807591539e-12,6.991254797306112e-12
0.76,0,0.0,0.0,1.808734336147934e-11,3.3121407107860005e-11,3.9896246029069715e-12,7.305725469031188e-12,1.8059645059073115e-11,3.3089630185655485e-11,3.97700882642793e-12,7.295927750838871e-12
0.78,0,0.0,0.0,1.8214948602523196e-11,3.3355076955220406e-11,3.0524432807765844e-12,5.589584350929044e-12,1.8186834577972758e-11,3.332297315560185e-11,3.0424720902366698e-12,5.581771156393245e-12
0.8,0,0.0,0.0,1.8334940995714938e-11,3.357480631492766e-11,2.9630508116551546e-12,5.4259235993114885e-12,1.8309080069913743e-11,3.354725670566727e-11,2.657719530563263e-12,4.876196668668342e-12
0.8200000000000001,0,0.0,0.0,1.844891460621222e-11,3.3783513935557956e-11,2.7522710673022477e-12,5.040023953739592e-12,1.8422020996056332e-11,3.3754479597291165e-11,2.7937973115510495e-12,5.1260662381480415e-12
0.84,0,0.0,0.0,1.856115072678326e-11,3.3989039754144194e-11,2.1099628121079572e-12,3.8638259258760854e-12,1.8533752943101526e-11,3.395949414429678e-11,2.098691446322798e-12,3.8508085609123555e-12
0.86,0,0.0,0.0,1.8660221827932466e-11,3.417045827324044e-11,2.7501226122772504e-12,5.036041028638749e-12,1.8632354105926364e-11,3.414042470649592e-11,2.7371195587821973e-12,5.0225518188895535e-12
0.88,0,0.0,0.0,1.875664662186318e-11,3.434703084924545e-11,2.317992152389703e-12,4.2447573234127844e-12,1.8728311435248386e-11,3.431651255912837e-11,2.3067494095418972e-12,4.233072226078605e-12
0.9,0,0.0,0.0,1.884310334732255e-11,3.450534973502445e-11,2.7188646299636243e-12,4.978739642780283e-12,1.881433926073666e-11,3.447438664793033e-11,2.705348098319682e-12,4.964681443730967e-12
0.92,0,0.0,0.0,1.8931186293207606e-11,3.466664655814462e-11,1.9044653007393997e-12,3.4874325649525417e-12,1.8901975783341423e-11,3.4635220605193734e-11,1.8947751354025932e-12,3.477398924367492e-12
0.9400000000000001,0,0.0,0.0,1.90124951976954e-11,3.48155388038995e-11,2.0115315663149502e-12,3.683539584464768e-12,1.8982863402426816e-11,3.478367606145515e-11,2.0010937351599978e-12,3.67272878776248e-12
0.96,0,0.0,0.0,1.9085443051616023e-11,3.494912029698868e-11,2.3445858969572964e-12,4.293385091891366e-12,1.9057524094552036e-11,3.492070943221691e-11,2.098976808334596e-12,3.85243226208587e-12
0.98,0,0.0,0.0,1.9157132534958763e-11,3.5080397411167933e-11,1.9497363792919664e-12,3.5704078582554644e-12,1.912828419719044e-11,3.5050589636030994e-11,1.9840405360294078e-12,3.641767443163246e-12
1.0,0,0.0,0.0,1.922630621519747e-11,3.5207067876951114e-11,1.703834989763564e-12,3.120087521679693e-12,1.919700051324789e-11,3.517672457186046e-11,1.6914646766563735e-12,3.104919099605752e-12
1.02,0,0.0,0.0,1.9293174290510447e-11,3.5329516261716166e-11,1.452973592136475e-12,2.6607466230288424e-12,1.9261967800006532e-11,3.5295983771598345e-11,1.6033663112480223e-12,2.9433261383715603e-12
1.04,0,0.0,0.0,1.935632934331244e-11,3.5445165377000455e-11,1.3753815794603774e-12,2.5186797092402458e-12,1.932500366516267e-11,3.5411702983588844e-11,1.3408493065858451e-12,2.4615726124110893e-12
1.06,0,0.0,0.0,1.9414701907473216e-11,3.5552056942044186e-11,1.4439079272510202e-12,2.6440655220838494e-12,1.9383019834288436e-11,3.551821260415654e-11,1.4356593171227505e-12,2.6357666049747763e-12
1.08,0,0.0,0.0,1.947228034428331e-11,3.565749387900327e-11,1.1043162911894555e-12,2.0221879726278758e-12,1.9440244699759657e-11,3.5623274757578074e-11,1.0974936237584387e-12,2.014999278543428e-12
1.1,0,0.0,0.0,1.9525687971996005e-11,3.575529346687585e-11,1.1457419214766507e-12,2.098099471936621e-12,1.949316972219716e-11,3.572044769394221e-11,1.1550439424357073e-12,2.120664754912127e-12
1.12,0,0.0,0.0,1.9572348983422227e-11,3.584073892314183e-11,1.5039033386676781e-12,2.7539914793095477e-12,1.9539758454201353e-11,3.580599104412339e-11,1.4703637613022735e-12,2.6998542290712635e-12
1.1400000000000001,0,0.0,0.0,1.9620370147290513e-11,3.5928674970474534e-11,1.0107643888535023e-12,1.8508528043525985e-12,1.9587457614361222e-11,3.5893577412836695e-11,1.004875870014299e-12,1.8451767891392024e-12
1.16,0,0.0,0.0,1.9662373848155224e-11,3.600559169346535e-11,1.3274268836904746e-12,2.4307361679021255e-12,1.962918124238602e-11,3.597019494460016e-11,1.3185273185778446e-12,2.421188249890349e-12
1.18,0,0.0,0.0,1.9704291111652253e-11,3.608235011253063e-11,1.0291494219327735e-12,1.884534195362164e-12,1.9670012045967964e-11,3.604517659049242e-11,1.1112985531802622e-12,2.0408258416537706e-12
1.2,0,0.0,0.0,1.974292821558518e-11,3.615310208625483e-11,1.0863861893417592e-12,1.989325371098971e-12,1.9708441508704988e-11,3.611575176119995e-11,1.0782637803463668e-12,1.980221542297045e-12
1.22,0,0.0,0.0,1.9780476219353886e-11,3.622185943329297e-11,9.242008200405216e-13,1.6923684675873574e-12,1.974576665341609e-11,3.618430232919977e-11,9.187663650711553e-13,1.687386341764352e-12
1.24,0,0.0,0.0,1.9816117867840627e-11,3.628712630853064e-11,8.607923401848794e-13,1.5762946503627973e-12,1.978119320573279e-11,3.624936925327071e-11,8.55587302395211e-13,1.5714096690544466e-12
1.26,0,0.0,0.0,1.9850557166042064e-11,3.6350191333954736e-11,7.331548562694579e-13,1.3425233147401627e-12,1.981542074233639e-11,3.631223701981891e-11,7.286627898284159e-13,1.3382905894587793e-12
